	nodes_synt	edges_synt	radius_synt	diameter_synt	average_clustering_synt	transitivity_synt	density_synt	degree_pearson_correlation_coefficien_syntt	nodes_flat	edges_flat	radius_flat	diameter_flat	average_clustering_flat	transitivity_flat	density_flat	degree_pearson_correlation_coefficient_flat	class
16071	14	24	3	5	0.6785714285714286	0.6	2.0	0	14	36	3	6	0.7050925925925927	0.6774193548387096	2.0	0	fiction
16072	14	31	3	5	0.7442857142857142	0.65625	0.6666666666666666	0.05923836389280674	14	33	3	6	0.7	0.8	0.8333333333333334	0.38032786885245917	fiction
16073	15	43	3	5	0.769047619047619	0.8	2.0	0	15	55	5	9	0.7374236874236875	0.7777777777777778	2.0	0	fiction
16074	16	45	2	3	0.6232371794871794	0.5	0.6	0.0	16	66	2	3	0.7211774336774338	0.6410256410256411	0.7	0.0367892976588629	fiction
16075	13	28	2	4	0.7666666666666666	0.8823529411764706	1.0666666666666667	0.28571428571428564	13	31	3	5	0.6944444444444445	0.75	1.0	0.28571428571428564	fiction
16076	2	0	0	0	0.0	0.0	0.0	0.0	2	2	1	1	0.0	0.0	2.0	0.0	fiction
16077	2	0	0	0	0.0	0.0	0.0	0.0	2	2	1	1	0.0	0.0	2.0	0	fiction
16078	13	27	3	5	0.7333333333333334	0.78	1.0	0	13	37	4	7	0.7511904761904762	0.8	1.0	0	fiction
16079	14	30	2	4	0.8333333333333333	0.75	1.0	0.0	14	39	3	6	0.7202020202020202	0.6891891891891891	1.0	0.3461538461538461	fiction
16080	13	23	3	5	0.7333333333333333	0.6	1.0	0.28571428571428564	13	33	4	8	0.6845238095238095	0.75	1.0	0.41520467836257313	fiction
16081	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	fiction
16082	14	41	3	5	0.7142857142857143	0.7674418604651163	1.0	0.31861198738170343	14	48	4	7	0.6656101834673264	0.7012987012987013	1.0	0.4696969696969697	fiction
16083	15	40	3	5	0.8333333333333333	0.75	2.0	0.12556053811659185	15	51	4	8	0.7464955679241394	0.8	2.0	0.5508771929824562	fiction
16084	14	28	3	5	0.8222222222222223	0.8823529411764706	1.0	0.16129032258064513	14	39	4	8	0.7000000000000001	0.8	0.8666666666666667	0.4090909090909091	fiction
16085	14	28	2	4	0.5833333333333334	0.6	2.0	0.0	14	35	3	5	0.6875	0.7058823529411765	2.0	0.2504504504504505	fiction
16086	14	26	3	5	0.8095238095238094	0.9230769230769231	1.0476190476190477	0.048458149779735664	14	32	4	7	0.7571428571428572	0.8421052631578947	1.0	0.4238683127572016	fiction
16087	13	24	3	5	0.6	0.5555555555555556	0.7	0.0	13	27	4	8	0.625	0.5714285714285714	0.6666666666666666	0.2222222222222222	fiction
16088	13	34	3	5	0.6952380952380953	0.6521739130434783	0.6666666666666666	0.0	13	39	3	6	0.685978835978836	0.6923076923076923	0.6666666666666666	0.41666666666666663	fiction
16089	14	28	2	4	0.7666666666666666	0.8823529411764706	1.0	0.18672199170124484	14	38	3	6	0.7480158730158729	0.75	0.8666666666666667	0.3181818181818181	fiction
16090	13	25	2	4	0.4904761904761905	0.43902439024390244	1.0	0.0	13	29	3	5	0.6793650793650793	0.6521739130434783	0.6666666666666666	0.13191489361702127	fiction
16091	14	28	3	5	0.6135714285714287	0.6	2.0	0.3000000000000001	14	30	4	7	0.6231102231102231	0.6	2.0	0.3666666666666666	fiction
16092	13	29	3	5	0.6875	0.5357142857142857	1.0	0.0	13	33	3	6	0.6904761904761905	0.6375	1.0	0.2777777777777778	fiction
16093	9	11	2	4	0.31851851851851853	0.2857142857142857	1.0	0	9	11	3	5	0.47916666666666663	0.4	1.0	0	fiction
16094	8	12	2	4	0.39999999999999997	0.375	0.6666666666666666	0.0	8	17	2	4	0.6333333333333333	0.6470588235294118	0.6666666666666666	0.0	fiction
16095	14	31	3	6	0.7797979797979799	0.6	2.0	0	14	42	4	7	0.735515873015873	0.6976744186046512	2.0	0	fiction
16096	14	29	2	4	0.7666666666666666	0.8823529411764706	0.8666666666666667	0.0	14	38	3	6	0.6944444444444445	0.75	0.8666666666666667	0.060648801128349826	fiction
16097	2	0	0	0	0.0	0.0	0.0	0.0	2	2	1	1	0.0	0.0	2.0	0	fiction
16098	14	28	3	5	0.6607142857142856	0.6	1.0	0.03999999999999994	14	32	4	7	0.6952380952380953	0.7682926829268293	0.8333333333333334	0.7142857142857143	fiction
16099	5	4	2	4	0.0	0.0	0.4	0.0	5	4	2	4	0.0	0.0	0.4	0.0	fiction
16100	14	38	3	5	0.6659297052154195	0.631578947368421	2.0	0	14	43	4	8	0.7454648526077098	0.8	2.0	0.4059405940594059	fiction
16101	12	20	2	4	0.5994949494949494	0.5714285714285714	1.0	0	12	33	4	7	0.6779100529100529	0.6745562130177515	1.0	0	fiction
16102	13	24	3	4	0.7142857142857143	0.7674418604651163	2.0	0.0	13	28	4	7	0.7392857142857143	0.7674418604651163	2.0	0.23919308357348706	fiction
16103	11	21	2	4	0.7333333333333334	0.78	0.8571428571428571	0.6571428571428573	11	19	3	5	0.675	0.75	0.8	0.42400000000000004	fiction
16104	14	25	3	5	0.7333333333333333	0.6	1.0	0	14	34	4	8	0.737037037037037	0.631578947368421	1.0	0	fiction
16105	15	22	3	5	0.8333333333333333	0.9230769230769231	1.0476190476190477	0	15	30	4	8	0.736111111111111	0.8	1.3333333333333333	0	fiction
16106	14	32	3	5	0.6785714285714286	0.6153846153846154	2.0	0	14	40	4	8	0.6947089947089947	0.6774193548387096	2.0	0.3401178361006964	fiction
16107	15	45	3	6	0.8394179894179894	0.6774193548387096	2.0	0	15	61	5	10	0.7535853035853036	0.7620320855614974	2.0	0	fiction
16108	15	27	3	5	0.6150793650793651	0.6363636363636364	0.8333333333333334	0.07692307692307693	15	40	3	5	0.6042857142857143	0.75	1.0	0.3	fiction
16109	15	39	3	5	0.761904761904762	0.75	2.0	0	15	44	4	8	0.6952380952380953	0.6521739130434783	2.0	0	fiction
16110	13	24	2	4	0.7666666666666666	0.75	1.0	0.21428571428571427	13	29	4	8	0.7000000000000001	0.6818181818181818	1.0	0.46969696969696945	fiction
16111	13	26	2	4	0.6944444444444445	0.75	0.9333333333333333	0.0	13	33	3	6	0.6913419913419913	0.6444444444444445	0.7333333333333333	0.4059405940594059	fiction
16112	15	33	3	4	0.6691919191919192	0.6106194690265486	1.0	0	15	42	3	6	0.7154761904761905	0.6642857142857143	1.0	0	fiction
16113	14	30	3	5	0.7000000000000001	0.6666666666666666	1.0	0.0	14	37	5	10	0.6814814814814815	0.6666666666666666	1.0	0.35021500238891545	fiction
16114	15	41	3	5	0.8388888888888889	0.75	0.9333333333333333	0.16304347826086957	15	44	3	6	0.7666666666666666	0.8823529411764706	1.0	0.36723163841807904	fiction
16115	13	24	3	5	0.7	0.8	2.0	0.25858123569794056	13	33	4	8	0.6777777777777777	0.75	2.0	0.4973821989528796	fiction
16116	14	29	3	5	0.6463203463203463	0.5294117647058824	2.0	0.04461942257217847	14	40	4	8	0.6767857142857143	0.6666666666666666	2.0	0.4059405940594059	fiction
16117	15	38	3	5	0.9	0.8823529411764706	1.3333333333333333	0	15	45	4	7	0.7085714285714285	0.75	1.3333333333333333	0	fiction
